Batch,Optimal,Non-optimal,Score,Rank,Precision (Penalized Distance)
57,100.0,0.0,100.0,1,0.0
35,100.0,0.0,100.0,1,0.0
53,100.0,0.0,100.0,1,0.0
46,85.71428571428571,14.285714285714285,85.71428571428571,2,77.59523809523807
31,81.81818181818183,18.181818181818183,81.81818181818183,3,14.891363636363643
48,80.95238095238095,19.047619047619047,80.95238095238095,4,75.6047619047619
32,71.42857142857143,28.57142857142857,71.42857142857143,5,60.271428571428565
47,70.0,30.0,70.0,6,552.49
37,68.42105263157895,31.57894736842105,68.42105263157895,7,530.6263157894737
58,66.66666666666666,33.33333333333333,66.66666666666666,8,399.6904761904762
54,66.66666666666666,33.33333333333333,66.66666666666666,8,679.2666666666667
41,63.63636363636363,36.36363636363637,63.63636363636363,9,177.5772727272727
52,61.904761904761905,38.095238095238095,61.904761904761905,10,347.6047619047619
60,61.904761904761905,38.095238095238095,61.904761904761905,10,622.0428571428572
39,61.904761904761905,38.095238095238095,61.904761904761905,10,134.5047619047619
59,61.111111111111114,38.88888888888889,61.111111111111114,11,682.661111111111
50,57.14285714285714,42.857142857142854,57.14285714285714,12,423.04285714285714
38,57.14285714285714,42.857142857142854,57.14285714285714,12,325.4814285714286
44,57.14285714285714,42.857142857142854,57.14285714285714,12,1113.8904761904762
55,55.00000000000001,45.0,55.00000000000001,13,146.855
40,52.38095238095239,47.61904761904761,52.38095238095239,14,1272.0857142857144
36,52.38095238095239,47.61904761904761,52.38095238095239,14,1615.404761904762
33,52.17391304347826,47.82608695652174,52.17391304347826,15,1775.9260869565217
43,47.61904761904761,52.38095238095239,47.61904761904761,16,1430.5047619047616
42,47.61904761904761,52.38095238095239,47.61904761904761,16,1138.0209523809524
49,42.857142857142854,57.14285714285714,42.857142857142854,17,770.8328571428572
34,42.857142857142854,57.14285714285714,42.857142857142854,17,1782.3619047619047
51,40.0,60.0,40.0,18,1785.89
56,38.095238095238095,61.904761904761905,38.095238095238095,19,431.6047619047619
45,34.78260869565217,65.21739130434783,34.78260869565217,20,2913.7478260869566
